117.4551849,127.4551849,137.4551849,147.4551849,157.4551849,167.4551849,177.4551849,187.4551849,197.4551849,207.4551849,217.4551849,227.4551849,237.4551849,247.4551849,257.4552002,267.4552002,277.4552002
176.0529175,186.0529175,196.0529175,206.0529175,216.0529175,226.0529175,236.0529175,246.0529175,256.0529175,266.0529175,276.0529175,286.0529175,296.0529175,306.0529175,316.0529175,326.0529175,336.0529175
171.4373932,181.4373932,191.4373932,201.4373932,211.4373932,221.4373932,231.4373932,241.4373932,251.4373932,261.4373779,271.4373779,281.4373779,291.4373779,301.4373779,311.4373779,321.4373779,331.4373779
150.6374969,160.6374969,170.6374969,180.6374969,190.6374969,200.6374969,210.6374969,220.6374969,230.6374969,240.6374969,250.6374969,260.6375122,270.6375122,280.6375122,290.6375122,300.6375122,310.6375122
142.8197479,152.8197479,162.8197479,172.8197479,182.8197479,192.8197479,202.8197479,212.8197479,222.8197479,232.8197479,242.8197479,252.8197479,262.8197632,272.8197632,282.8197632,292.8197632,302.8197632
142.9521332,152.9521332,162.9521332,172.9521332,182.9521332,192.9521332,202.9521332,212.9521332,222.9521332,232.9521332,242.9521332,252.9521332,262.9521179,272.9521179,282.9521179,292.9521179,302.9521179
140.2852020,150.2852020,160.2852020,170.2852020,180.2852020,190.2852020,200.2852020,210.2852020,220.2852020,230.2852020,240.2852020,250.2852020,260.2851868,270.2851868,280.2851868,290.2851868,300.2851868
134.8948364,144.8948364,154.8948364,164.8948364,174.8948364,184.8948364,194.8948364,204.8948364,214.8948364,224.8948364,234.8948364,244.8948364,254.8948364,264.8948364,274.8948364,284.8948364,294.8948364
131.4654388,141.4654388,151.4654388,161.4654388,171.4654388,181.4654388,191.4654388,201.4654388,211.4654388,221.4654388,231.4654388,241.4654388,251.4654388,261.4654541,271.4654541,281.4654541,291.4654541
130.0551147,140.0551147,150.0551147,160.0551147,170.0551147,180.0551147,190.0551147,200.0551147,210.0551147,220.0551147,230.0551147,240.0551147,250.0551147,260.0551147,270.0551147,280.0551147,290.0551147
128.8246307,138.8246307,148.8246307,158.8246307,168.8246307,178.8246307,188.8246307,198.8246307,208.8246307,218.8246307,228.8246307,238.8246307,248.8246307,258.8246460,268.8246460,278.8246460,288.8246460
127.8199768,137.8199768,147.8199768,157.8199768,167.8199768,177.8199768,187.8199768,197.8199768,207.8199768,217.8199768,227.8199768,237.8199768,247.8199768,257.8199768,267.8199768,277.8199768,287.8199768
127.2029877,137.2029877,147.2029877,157.2029877,167.2029877,177.2029877,187.2029877,197.2029877,207.2029877,217.2029877,227.2029877,237.2029877,247.2029877,257.2030029,267.2030029,277.2030029,287.2030029
126.7296600,136.7296600,146.7296600,156.7296600,166.7296600,176.7296600,186.7296600,196.7296600,206.7296600,216.7296600,226.7296600,236.7296600,246.7296600,256.7296448,266.7296448,276.7296448,286.7296448
126.7242889,136.7242889,146.7242889,156.7242889,166.7242889,176.7242889,186.7242889,196.7242889,206.7242889,216.7242889,226.7242889,236.7242889,246.7242889,256.7243042,266.7243042,276.7243042,286.7243042
126.8771973,136.8771973,146.8771973,156.8771973,166.8771973,176.8771973,186.8771973,196.8771973,206.8771973,216.8771973,226.8771973,236.8771973,246.8771973,256.8771973,266.8771973,276.8771973,286.8771973
127.7793732,137.7793732,147.7793732,157.7793732,167.7793732,177.7793732,187.7793732,197.7793732,207.7793732,217.7793732,227.7793732,237.7793732,247.7793732,257.7793579,267.7793579,277.7793579,287.7793579
